id,Bairro,Zona,Categoria_Risco,Altura_Maxima___Edificacao_Isolada,Coeficiente_de_Aproveitamento___Basico,Coeficiente_de_Aproveitamento___Maximo,Área_Minima_do_Lote,Testada_Minima_do_Lote,Modulo_de_Fracionamento,Face_Maxima_do_Quarteirao,Área_Maxima_do_Quarteirao,Área_Minima_do_Quarteirao,Enquadramento_Fracionamento,Área_de_Destinacao_Publica___Malha_Viaria_Fracionamento,Área_de_Destinacao_Publica___Equipamentos_Fracionamento,Enquadramento_Desmembramento_Tipo_1,Área_Publica___Malha_Viaria_Desmembramento_Tipo_1,Área_Publica___Equipamentos_Desmembramento_Tipo_1,Enquadramento_Desmembramento_Tipo_2,Área_Publica___Malha_Viaria_Desmembramento_Tipo_2,Área_Publica___Equipamentos_Desmembramento_Tipo_2,Enquadramento_Desmembramento_Tipo_3,Área_Publica___Malha_Viaria_Desmembramento_Tipo_3,Área_Publica___Equipamentos_Desmembramento_Tipo_3,Enquadramento_Loteamento,Área_Publica___Malha_Viaria_Loteamento,Área_Publica___Equipamentos_Loteamento,Coeficiente_de_Aproveitamento_Basico_+4D,Coeficiente_de_Aproveitamento_Maximo_+4D,Afastamentos___Frente,Afastamentos___Laterais,Afastamentos___Fundos,"Taxa_de_Permeabilidade_acima_de_1,500_m2","Taxa_de_Permeabilidade_ate_1,500_m2",Fator_de_Conversao_da_Taxa_de_Permeabilidade,Recuo_de_Jardim,Comercio_Varejista_Inocuo___Restricao_/_Porte,Comercio_Varejista_IA1___Restricao_/_Porte,Comercio_Varejista_IA2___Restricao_/_Porte,Comercio_Atacadista_IA1___Restricao_/_Porte,Comercio_Atacadista_IA2___Restricao_/_Porte,Comercio_Atacadista_IA3___Restricao_/_Porte,Servico_Inocuo___Restricao_/_Porte,Servico_IA1___Restricao_/_Porte,Servico_IA2___Restricao_/_Porte,Servico_IA3___Restricao_/_Porte,Industria_Inocua___Restricao_/_Porte,Industria_com_Interferência_Ambiental___Restricao_/_Porte,Nivel_de_Controle_de_Polarizacao_de_Entretenimento_Noturno,Unnamed:_49,Unnamed:_50
45,VILA JARDIM,ZOT 12,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
46,VILA JARDIM,ZOT 07,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
47,VILA JARDIM,ZOT 13,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
48,VILA JARDIM,ZOT 08.3 - C,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
49,VILA JARDIM,ZOT 04,Ocupação Acima da Cota de Inundação,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
50,VILA JARDIM,ZOT 06,Ocupação Acima da Cota de Inundação,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
51,JARDIM EUROPA,ZOT 08.3 - C,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
52,JARDIM EUROPA,ZOT 07,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
53,JARDIM EUROPA,ESPECIAL,Ocupação Acima da Cota de Inundação,0,"0,00","0,00",0.0,0,0.0,0,0,Conforme Projeto,0,Conforme Projeto,Conforme Projeto,Conforme Projeto,0,Conforme Projeto,Conforme Projeto,0,Conforme Projeto,Conforme Projeto,0,Conforme Projeto,Conforme Projeto,0,0,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,0,0,0.0,0,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,0,,Conforme Projeto,,
54,VILA IPIRANGA,ZOT 07,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
55,VILA IPIRANGA,ZOT 12,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
56,VILA IPIRANGA,ZOT 06,Ocupação Acima da Cota de Inundação,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
57,VILA IPIRANGA,ZOT 13,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
58,SANTA ROSA DE LIMA,ZOT 03,Ocupação Acima da Cota de Inundação,13,"2,00","3,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
59,SANTA ROSA DE LIMA,ZOT 13,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
60,SANTA ROSA DE LIMA,ZOT 15,Ocupação Acima da Cota de Inundação,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
61,BOM FIM,ZOT 07,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
62,BOM FIM,ZOT 08.1 - B,Protegido pelo Sistema Atual,75,"3,60","7,00",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,"18% da altura total desde o RN, aplicável acima de 10 m,",0,0,0.0,0,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
63,INDEPENDÊNCIA,ZOT 07,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
64,INDEPENDÊNCIA,ZOT 08.2 - A,Protegido pelo Sistema Atual,130,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,"7,5",13,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
65,PITINGA,ZOT 01,Ocupação Acima da Cota de Inundação,9,"1,50","2,50",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,30.0,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 2,,
66,PITINGA,ZOT 14,Ocupação Acima da Cota de Inundação,9,"0,50","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,60,40,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
67,PITINGA,ZOT 15,Ocupação Acima da Cota de Inundação,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
68,PITINGA,ZOT 16,Ocupação Acima da Cota de Inundação,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
69,MONTSERRAT,ZOT 07,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
70,MONTSERRAT,ZOT 08.3 - C,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
71,BELA VISTA,ZOT 08.3 - C,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
72,BELA VISTA,ZOT 07,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
73,HÍPICA,ZOT 01,Ocupação Acima da Cota de Inundação,9,"1,50","2,50",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,30.0,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 2,,
74,HÍPICA,ZOT 04,Ocupação Acima da Cota de Inundação,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
75,HÍPICA,ZOT 02,Ocupação Acima da Cota de Inundação,9,"2,00","3,00",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,50.0,4,S/L,1500,1500,500,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 3,,
76,HÍPICA,ZOT 03,Ocupação Acima da Cota de Inundação,13,"2,00","3,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
77,HÍPICA,ZOT 15,Ocupação Acima da Cota de Inundação,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
78,HÍPICA,ZOT 14,Ocupação Acima da Cota de Inundação,9,"0,50","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,60,40,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
79,SÃO SEBASTIÃO,ZOT 06,Ocupação Acima da Cota de Inundação,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
80,SÃO SEBASTIÃO,ZOT 13,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
81,SÃO SEBASTIÃO,ZOT 12,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
82,JARDIM LINDÓIA,ZOT 12,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
83,JARDIM LINDÓIA,ZOT 06,Ocupação Acima da Cota de Inundação,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
84,JARDIM LINDÓIA,ZOT 13,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
85,PARTENON,ZOT 08.3 - B,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
